"Province","airport_iata","attribution"
"Jiangxi Province","YYA",0.0140357805722986
"Jiangxi Province","CSX",0.000681077769218921
"Jiangxi Province","MXZ",0.0101081334454938
"Jiangxi Province","XIN",0.0171103823112882
"Jiangxi Province","AQG",0.00212016823399815
"Jiangxi Province","KHN",0.169947992994538
"Jiangxi Province","KOW",0.150759120505715
"Jiangxi Province","JDZ",0.0881544284152577
"Jiangxi Province","JIU",0.0694432459299101
"Jiangxi Province","LCX",0.0586603190402305
"Jiangxi Province","TXN",0.00874780268021368
"Jiangxi Province","WUS",0.0342633094240407
"Jiangxi Province","YIC",0.128192072942247
"Jilin Province","DBC",0.116390947886541
"Jilin Province","NBS",0.14162801573038
"Jilin Province","TGO",0.0195487327346876
"Jilin Province","HLH",0.0118711152621017
"Jilin Province","CGQ",0.10783477059117
"Jilin Province","HRB",0.0268193559554993
"Jilin Province","JIL",0.131221437970847
"Jilin Province","JXA",0.0000648537777731766
"Jilin Province","MDG",0.0261661028427313
"Jilin Province","NDG",0.000919235510372436
"Jilin Province","YSQ",0.134652642211098
"Jilin Province","TNH",0.138303090903114
"Jilin Province","SHE",0.0000602437058932355
"Jilin Province","YNJ",0.144519547220015
"Liaoning Province","XEN",0.0519582173367923
"Liaoning Province","DDG",0.107624086781139
"Liaoning Province","CDE",0.0103771696662248
"Liaoning Province","CIF",0.0228661278146829
"Liaoning Province","BPE",0.0161957344371472
"Liaoning Province","TGO",0.0356479297605314
"Liaoning Province","AOG",0.109498348564139
"Liaoning Province","CGQ",0.000370812851005836
"Liaoning Province","CNI",0.0379169711069282
"Liaoning Province","CHG",0.108858755870232
"Liaoning Province","JNZ",0.0862989389496441
"Liaoning Province","YSQ",0.0000321030022515727
"Liaoning Province","DLC",0.0292898262525587
"Liaoning Province","TNH",0.087280505689315
"Liaoning Province","SHE",0.221384303471482
"Liaoning Province","YKH",0.0743999990669903
"Macao Special Administrative Region","ZUH",1
"Ningxia Hui Autonomous Region","AXF",0.0239563983793325
"Ningxia Hui Autonomous Region","INC",0.377038381538705
"Ningxia Hui Autonomous Region","THQ",0.000195051909665678
